,trips_in_first_30_days,signup_date,avg_rating_of_driver,avg_surge,last_trip_date,surge_pct,ultimate_black_user,weekday_pct,avg_dist,avg_rating_by_driver,city_Astapor,city_King's Landing,city_Winterfell,phone_Android,phone_Unknown,phone_iPhone,active
41,0.0,2014-01-18,4.0,1.88,2014-05-10,50.0,0,0.0,3.8,5.0,0,0,1,0,0,1,0
42,1.0,2014-01-25,4.0,1.5,2014-01-26,100.0,0,0.0,5.72,5.0,0,0,1,1,0,0,0
43,1.0,2014-01-13,4.5,1.0,2014-03-17,0.0,0,50.0,16.52,5.0,0,0,1,0,0,1,0
44,2.0,2014-01-22,5.0,1.0,2014-06-18,0.0,1,66.7,1.4,5.0,0,1,0,0,0,1,1
45,3.0,2014-01-10,4.0,1.0,2014-04-19,0.0,0,50.0,3.0,4.2,1,0,0,1,0,0,0
46,6.0,2014-01-20,5.0,1.33,2014-01-22,33.3,0,100.0,2.93,5.0,1,0,0,0,0,1,0
47,1.0,2014-01-18,5.0,1.25,2014-01-19,100.0,0,0.0,3.61,5.0,0,0,1,0,0,1,0
48,4.0,2014-01-04,4.8,1.0,2014-01-28,0.0,0,100.0,1.75,4.8,0,0,1,0,0,1,0
49,2.0,2014-01-04,4.4,1.0,2014-06-19,0.0,0,71.4,10.54,4.7,0,0,1,0,0,1,1
50,0.0,2014-01-04,5.0,1.25,2014-02-15,100.0,0,0.0,3.25,5.0,0,0,1,1,0,0,0
51,4.0,2014-01-02,4.5,1.0,2014-05-02,0.0,0,52.4,3.24,5.0,0,0,1,1,0,0,0
52,0.0,2014-01-12,5.0,1.0,2014-06-01,0.0,0,80.0,4.98,5.0,0,0,1,0,0,1,1
53,6.0,2014-01-17,4.4,1.56,2014-05-16,22.2,1,22.2,3.15,4.8,1,0,0,0,0,1,0
54,2.0,2014-01-10,3.5,1.5,2014-06-15,50.0,0,50.0,4.94,5.0,0,0,1,0,0,1,1
55,1.0,2014-01-04,4.0,1.0,2014-01-17,0.0,0,100.0,36.01,5.0,0,0,1,0,0,1,0
56,1.0,2014-01-09,2.5,1.0,2014-04-29,0.0,0,100.0,23.49,5.0,1,0,0,1,0,0,0
57,0.0,2014-01-31,4.3,1.0,2014-03-10,0.0,0,66.7,10.21,5.0,1,0,0,1,0,0,0
58,0.0,2014-01-05,5.0,1.0,2014-04-20,0.0,0,40.0,2.6,5.0,1,0,0,0,0,1,0
59,1.0,2014-01-25,5.0,1.25,2014-03-29,100.0,0,0.0,6.05,4.5,1,0,0,0,0,1,0
60,1.0,2014-01-04,4.6015592912744685,1.0,2014-01-05,0.0,1,0.0,3.01,5.0,1,0,0,0,0,1,0
61,1.0,2014-01-31,4.6015592912744685,1.0,2014-02-02,0.0,0,0.0,4.66,5.0,1,0,0,0,0,1,0
62,0.0,2014-01-30,4.5,1.06,2014-05-09,25.0,0,75.0,4.8100000000000005,4.8,0,1,0,0,0,1,0
63,3.0,2014-01-29,4.8,1.03,2014-06-29,5.4,0,54.1,2.21,4.8,1,0,0,0,0,1,1
64,1.0,2014-01-11,4.6015592912744685,1.17,2014-05-04,33.3,0,66.7,6.12,5.0,1,0,0,1,0,0,0
65,1.0,2014-01-20,5.0,1.0,2014-03-19,0.0,0,75.0,10.37,5.0,0,0,1,0,0,1,0
66,1.0,2014-01-07,5.0,1.0,2014-01-28,0.0,1,100.0,2.42,5.0,0,0,1,0,0,1,0
67,0.0,2014-01-18,5.0,1.0,2014-06-13,0.0,0,100.0,1.8900000000000001,5.0,0,0,1,1,0,0,1
68,0.0,2014-01-01,5.0,1.0,2014-06-15,0.0,1,0.0,4.44,5.0,0,1,0,0,0,1,1
69,5.0,2014-01-18,3.9,1.09,2014-06-17,10.5,1,63.2,2.61,4.8,1,0,0,0,0,1,1
70,0.0,2014-01-08,5.0,1.0,2014-04-23,0.0,0,100.0,4.46,5.0,1,0,0,0,0,1,0
71,1.0,2014-01-01,5.0,1.0,2014-01-01,0.0,0,100.0,1.02,5.0,1,0,0,1,0,0,0
72,1.0,2014-01-07,5.0,1.0,2014-01-08,0.0,0,100.0,0.0,3.0,1,0,0,0,0,1,0
73,2.0,2014-01-19,5.0,1.0,2014-01-25,0.0,0,0.0,37.11,5.0,1,0,0,0,0,1,0
74,7.0,2014-01-24,5.0,1.35,2014-06-10,36.0,0,84.0,2.3,4.9,0,1,0,0,0,1,1
75,0.0,2014-01-21,5.0,1.0,2014-04-27,0.0,0,0.0,1.45,4.0,0,0,1,1,0,0,0
76,5.0,2014-01-26,4.8,1.0,2014-01-30,0.0,0,100.0,2.47,5.0,1,0,0,0,0,1,0
77,0.0,2014-01-01,4.6015592912744685,1.0,2014-02-03,0.0,0,100.0,19.8,5.0,1,0,0,0,0,1,0
78,1.0,2014-01-23,5.0,1.0,2014-04-20,0.0,0,0.0,1.82,4.0,0,0,1,0,0,1,0
79,0.0,2014-01-23,5.0,1.0,2014-06-01,0.0,1,66.7,10.49,5.0,1,0,0,1,0,0,1
80,0.0,2014-01-12,4.0,1.5,2014-05-03,25.0,0,50.0,3.99,5.0,1,0,0,0,0,1,0
81,1.0,2014-01-25,4.0,3.5,2014-02-05,100.0,1,100.0,17.89,4.0,0,0,1,1,0,0,0
82,1.0,2014-01-06,4.0,1.11,2014-06-20,18.2,1,81.8,4.61,4.8,0,0,1,0,0,1,1
83,7.0,2014-01-03,4.8,1.03,2014-06-29,5.3,0,63.2,2.6,4.7,0,1,0,0,0,1,1
84,0.0,2014-01-09,4.0,1.0,2014-06-30,0.0,1,100.0,5.01,5.0,1,0,0,0,0,1,1
85,4.0,2014-01-27,5.0,1.0,2014-04-28,0.0,0,100.0,2.42,4.8,0,0,1,0,0,1,0
86,9.0,2014-01-20,4.7,1.17,2014-05-25,25.0,1,66.7,3.55,4.9,0,1,0,0,0,1,0
87,6.0,2014-01-23,5.0,1.0,2014-07-01,0.0,1,67.6,3.06,4.7,0,0,1,0,0,1,1
88,3.0,2014-01-05,5.0,1.0,2014-06-29,0.0,0,42.9,3.3,4.8,0,1,0,0,0,1,1
89,0.0,2014-01-19,5.0,1.0,2014-05-18,0.0,1,0.0,4.67,5.0,1,0,0,0,0,1,0
90,1.0,2014-01-10,5.0,1.0,2014-02-09,0.0,0,0.0,6.28,4.778158195947439,0,0,1,0,0,1,0
91,3.0,2014-01-18,5.0,1.0,2014-06-26,0.0,1,50.0,10.83,5.0,1,0,0,1,0,0,1
92,7.0,2014-01-02,3.7,1.0,2014-06-27,0.0,0,55.2,1.55,4.5,0,0,1,0,0,1,1
93,5.0,2014-01-05,4.0,1.0,2014-05-28,0.0,0,80.0,1.13,4.4,0,0,1,1,0,0,0
94,1.0,2014-01-17,1.0,1.0,2014-01-18,0.0,1,0.0,23.34,4.0,1,0,0,0,0,1,0
95,1.0,2014-01-23,4.6015592912744685,1.0,2014-01-23,0.0,1,100.0,1.35,4.0,1,0,0,0,0,1,0
96,11.0,2014-01-26,4.1,1.0,2014-07-01,1.9,1,76.9,4.89,4.6,0,0,1,0,0,1,1
97,4.0,2014-01-07,5.0,1.0,2014-01-11,0.0,1,75.0,5.36,5.0,1,0,0,1,0,0,0
98,1.0,2014-01-18,4.3,1.02,2014-06-19,10.0,0,90.0,4.2,5.0,0,1,0,0,0,1,1
99,73.0,2014-01-27,4.9,1.0,2014-03-05,0.0,1,89.7,2.86,4.9,1,0,0,1,0,0,0
100,0.0,2014-01-17,4.6015592912744685,1.0,2014-06-02,0.0,0,100.0,8.3,5.0,1,0,0,0,0,1,1
101,1.0,2014-01-18,5.0,1.17,2014-05-25,16.7,0,33.3,6.08,5.0,1,0,0,1,0,0,0
102,8.0,2014-01-31,4.2,1.0,2014-06-25,0.0,1,50.0,2.15,4.9,0,1,0,0,0,1,1
103,2.0,2014-01-30,4.4,1.0,2014-06-22,0.0,1,50.0,6.86,4.9,0,0,1,0,0,1,1
104,3.0,2014-01-01,3.0,1.0,2014-06-28,0.0,1,63.6,4.08,4.9,0,0,1,0,0,1,1
105,0.0,2014-01-20,5.0,1.0,2014-06-23,0.0,0,0.0,4.99,5.0,0,0,1,1,0,0,1
106,0.0,2014-01-04,4.6015592912744685,1.0,2014-04-06,0.0,0,0.0,1.63,5.0,1,0,0,1,0,0,0
107,14.0,2014-01-07,4.9,1.09,2014-06-29,15.9,0,50.0,10.79,4.9,0,1,0,0,0,1,1
108,1.0,2014-01-03,3.0,1.0,2014-01-08,0.0,0,100.0,9.14,5.0,1,0,0,0,0,1,0
109,1.0,2014-01-19,4.6015592912744685,1.0,2014-04-14,0.0,0,66.7,3.07,5.0,1,0,0,1,0,0,0
110,2.0,2014-01-25,5.0,1.0,2014-06-11,0.0,1,50.0,5.25,5.0,1,0,0,0,0,1,1
111,1.0,2014-01-09,4.7,1.0,2014-06-17,0.0,1,100.0,3.81,5.0,0,1,0,0,0,1,1
112,1.0,2014-01-09,4.8,1.0,2014-06-29,0.0,1,36.4,2.65,5.0,1,0,0,0,0,1,1
113,1.0,2014-01-01,5.0,1.0,2014-03-29,0.0,0,33.3,10.29,3.7,0,0,1,1,0,0,0
114,1.0,2014-01-08,4.4,1.05,2014-06-28,9.1,0,63.6,12.32,4.7,0,0,1,1,0,0,1
115,0.0,2014-01-07,4.0,1.0,2014-04-09,0.0,0,100.0,1.16,4.3,1,0,0,0,0,1,0
116,1.0,2014-01-10,5.0,1.0,2014-01-11,0.0,0,100.0,0.0,5.0,0,0,1,1,0,0,0
117,1.0,2014-01-10,2.5,1.63,2014-04-17,50.0,0,100.0,2.64,5.0,1,0,0,0,0,1,0
118,0.0,2014-01-14,5.0,1.0,2014-06-10,0.0,1,85.7,16.85,5.0,0,0,1,0,0,1,1
119,1.0,2014-01-11,4.6015592912744685,2.5,2014-01-12,100.0,0,0.0,4.14,5.0,1,0,0,1,0,0,0
120,3.0,2014-01-15,4.3,1.06,2014-05-23,11.1,1,88.9,2.67,4.9,1,0,0,1,0,0,0
121,2.0,2014-01-07,4.9,1.0,2014-06-15,0.0,1,41.2,5.55,4.8,0,0,1,0,0,1,1
122,0.0,2014-01-17,5.0,1.0,2014-06-23,0.0,0,0.0,1.58,5.0,0,1,0,0,0,1,1
123,0.0,2014-01-25,5.0,1.0,2014-04-03,0.0,1,33.3,1.78,5.0,1,0,0,1,0,0,0
124,0.0,2014-01-21,5.0,1.0,2014-06-05,0.0,1,100.0,6.1,4.8,0,0,1,0,0,1,1
125,0.0,2014-01-10,4.4,1.32,2014-03-16,20.0,1,90.0,8.14,4.6,0,0,1,0,0,1,0
126,2.0,2014-01-16,5.0,1.0,2014-01-17,0.0,0,100.0,6.04,4.5,1,0,0,1,0,0,0
127,2.0,2014-01-19,4.0,1.38,2014-06-28,50.0,1,0.0,2.92,5.0,0,0,1,1,0,0,1
128,0.0,2014-01-26,4.8,1.3,2014-04-20,20.0,0,20.0,2.81,4.3,1,0,0,0,0,1,0
129,3.0,2014-01-11,5.0,1.0,2014-01-12,0.0,0,0.0,2.0,5.0,0,0,1,0,0,1,0
130,0.0,2014-01-31,4.5,1.0,2014-05-25,0.0,1,0.0,7.4,5.0,1,0,0,1,0,0,0
131,0.0,2014-01-12,5.0,1.0,2014-03-27,0.0,0,100.0,1.2,4.0,1,0,0,1,0,0,0
132,0.0,2014-01-25,5.0,1.0,2014-06-06,0.0,1,100.0,2.64,5.0,0,1,0,0,0,1,1
133,2.0,2014-01-10,3.8,1.06,2014-06-30,25.0,1,37.5,3.33,4.8,0,0,1,0,0,1,1
134,0.0,2014-01-10,5.0,1.0,2014-06-11,0.0,0,100.0,2.88,5.0,0,1,0,0,1,0,1
135,1.0,2014-01-17,4.6015592912744685,1.75,2014-01-18,100.0,0,100.0,1.99,5.0,0,0,1,0,0,1,0
136,4.0,2014-01-19,4.9,1.0,2014-06-28,0.0,0,43.8,3.22,4.5,0,0,1,0,0,1,1
137,1.0,2014-01-02,5.0,1.0,2014-01-03,0.0,0,100.0,13.78,5.0,0,0,1,0,0,1,0
138,0.0,2014-01-07,4.6015592912744685,1.0,2014-05-31,0.0,1,0.0,8.2,5.0,1,0,0,0,0,1,0
139,4.0,2014-01-18,4.4,1.0,2014-06-13,0.0,1,45.5,10.47,4.6,0,1,0,0,0,1,1
140,2.0,2014-01-18,5.0,1.0,2014-06-08,0.0,1,16.7,2.27,5.0,0,1,0,0,0,1,1
141,3.0,2014-01-01,3.8,1.06,2014-05-25,8.3,0,41.7,1.6800000000000002,4.7,0,0,1,1,0,0,0
142,1.0,2014-01-26,4.5,1.1,2014-06-25,10.0,1,10.0,3.5700000000000003,4.8,0,1,0,0,0,1,1
143,2.0,2014-01-17,5.0,1.0,2014-06-23,0.0,0,40.0,11.63,4.8,0,1,0,0,0,1,1
144,0.0,2014-01-16,5.0,1.0,2014-06-21,0.0,1,100.0,0.9500000000000001,5.0,0,0,1,0,0,1,1
145,11.0,2014-01-04,5.0,1.03,2014-06-24,2.3,1,57.5,4.86,4.7,0,1,0,0,0,1,1
146,0.0,2014-01-14,5.0,1.0,2014-03-28,0.0,1,100.0,4.97,5.0,0,0,1,0,0,1,0
147,7.0,2014-01-25,3.7,1.09,2014-07-01,3.8,0,57.7,5.44,4.6,0,0,1,0,0,1,1
148,0.0,2014-01-11,4.6015592912744685,1.0,2014-05-21,0.0,0,100.0,2.64,5.0,0,0,1,0,0,1,0
149,0.0,2014-01-10,4.8,1.21,2014-06-29,21.4,1,28.6,3.42,5.0,1,0,0,0,0,1,1
150,10.0,2014-01-05,4.5,1.1400000000000001,2014-06-16,22.9,0,62.9,1.6400000000000001,4.8,0,1,0,0,0,1,1
151,0.0,2014-01-18,5.0,1.17,2014-06-28,33.3,0,66.7,4.43,4.7,0,0,1,0,0,1,1
152,0.0,2014-01-31,5.0,1.0,2014-05-24,0.0,1,0.0,4.01,5.0,0,0,1,0,0,1,0
153,2.0,2014-01-21,4.0,1.0,2014-04-10,0.0,1,50.0,2.1,4.4,0,0,1,0,0,1,0
154,2.0,2014-01-24,5.0,1.0,2014-01-25,0.0,1,50.0,7.63,5.0,0,0,1,0,0,1,0
155,4.0,2014-01-31,4.5,1.0,2014-02-02,0.0,0,0.0,1.8900000000000001,4.5,0,0,1,0,0,1,0
156,1.0,2014-01-26,4.0,1.0,2014-01-27,0.0,0,100.0,3.18,5.0,0,0,1,1,0,0,0
157,1.0,2014-01-20,5.0,1.0,2014-05-18,0.0,0,20.0,3.7199999999999998,5.0,0,0,1,1,0,0,0
158,0.0,2014-01-11,5.0,1.0,2014-03-28,0.0,0,100.0,3.8,4.7,1,0,0,0,0,1,0
159,1.0,2014-01-12,5.0,1.0,2014-01-19,0.0,0,0.0,18.03,5.0,1,0,0,1,0,0,0
160,1.0,2014-01-14,5.0,1.0,2014-06-01,0.0,1,30.0,2.92,4.7,1,0,0,0,0,1,1
161,0.0,2014-01-12,4.9,1.0,2014-06-25,0.0,1,42.9,2.03,4.7,0,1,0,0,0,1,1
162,1.0,2014-01-04,5.0,1.0,2014-01-04,0.0,0,0.0,12.6,5.0,1,0,0,0,0,1,0
163,2.0,2014-01-31,5.0,1.0,2014-06-20,0.0,1,42.9,2.86,5.0,0,1,0,0,0,1,1
164,5.0,2014-01-05,5.0,1.0,2014-06-28,0.0,1,100.0,18.57,5.0,0,1,0,1,0,0,1
165,2.0,2014-01-11,5.0,1.63,2014-01-12,100.0,0,0.0,1.5,3.5,1,0,0,0,0,1,0
166,1.0,2014-01-06,4.6015592912744685,1.0,2014-01-07,0.0,0,100.0,2.36,5.0,0,0,1,1,0,0,0
167,0.0,2014-01-20,5.0,1.0,2014-02-22,0.0,0,100.0,1.73,5.0,0,0,1,1,0,0,0
168,2.0,2014-01-30,5.0,1.0,2014-01-31,0.0,0,100.0,3.37,3.5,1,0,0,1,0,0,0
169,0.0,2014-01-24,1.0,1.0,2014-03-14,0.0,1,100.0,2.11,5.0,0,0,1,0,0,1,0
170,0.0,2014-01-09,4.6015592912744685,1.0,2014-06-17,0.0,0,100.0,5.45,5.0,1,0,0,0,0,1,1
171,1.0,2014-01-14,4.0,1.0,2014-01-15,0.0,0,100.0,2.2,5.0,0,0,1,0,0,1,0
172,1.0,2014-01-31,5.0,1.0,2014-04-06,0.0,0,50.0,3.88,5.0,0,0,1,1,0,0,0
173,1.0,2014-01-07,2.0,1.0,2014-01-15,0.0,0,100.0,9.77,5.0,1,0,0,1,0,0,0
174,3.0,2014-01-25,4.5,1.0,2014-04-06,0.0,1,0.0,1.75,5.0,1,0,0,1,0,0,0
175,1.0,2014-01-17,4.0,1.25,2014-01-18,100.0,0,100.0,3.56,5.0,0,1,0,0,0,1,0
176,0.0,2014-01-28,5.0,1.0,2014-03-18,0.0,0,100.0,20.32,5.0,1,0,0,0,1,0,0
177,0.0,2014-01-05,5.0,1.0,2014-04-19,0.0,0,75.0,14.37,5.0,0,1,0,0,0,1,0
178,1.0,2014-01-30,4.0,1.0,2014-02-25,0.0,0,100.0,4.46,2.0,1,0,0,0,0,1,0
179,1.0,2014-01-15,4.0,1.0,2014-01-27,0.0,0,100.0,12.52,5.0,1,0,0,0,0,1,0
180,2.0,2014-01-02,3.9,1.02,2014-06-13,3.5,0,69.0,4.2,4.6,1,0,0,0,0,1,1
181,1.0,2014-01-28,3.0,1.0,2014-03-17,0.0,1,0.0,2.74,4.0,0,0,1,1,0,0,0
182,0.0,2014-01-01,4.6015592912744685,1.0,2014-05-06,0.0,1,100.0,18.15,5.0,0,0,1,0,0,1,0
183,1.0,2014-01-04,5.0,1.0,2014-01-05,0.0,0,0.0,7.54,5.0,0,1,0,0,0,1,0
184,0.0,2014-01-15,5.0,1.0,2014-05-25,0.0,1,75.0,10.16,5.0,0,0,1,0,0,1,0
185,1.0,2014-01-01,4.6015592912744685,1.0,2014-01-26,0.0,1,0.0,26.9,5.0,0,0,1,1,0,0,0
186,1.0,2014-01-01,5.0,1.05,2014-06-08,20.0,0,20.0,3.15,3.8,0,1,0,0,0,1,1
187,1.0,2014-01-19,5.0,1.0,2014-01-19,0.0,0,0.0,4.54,5.0,0,0,1,0,0,1,0
188,1.0,2014-01-11,4.6015592912744685,1.0,2014-01-14,0.0,0,100.0,0.0,5.0,0,0,1,1,0,0,0
189,2.0,2014-01-11,5.0,1.0,2014-06-23,0.0,1,33.3,8.91,5.0,0,0,1,0,0,1,1
190,0.0,2014-01-23,4.0,1.25,2014-05-17,50.0,0,75.0,10.37,4.0,0,0,1,1,0,0,0
191,1.0,2014-01-29,4.6015592912744685,1.0,2014-01-29,0.0,0,100.0,1.34,5.0,0,0,1,1,0,0,0
192,3.0,2014-01-25,4.5,1.0,2014-06-25,0.0,1,20.0,4.42,4.5,0,0,1,0,0,1,1
193,4.0,2014-01-12,5.0,1.0,2014-01-16,0.0,0,100.0,5.99,3.0,0,0,1,0,0,1,0
194,0.0,2014-01-09,5.0,1.04,2014-06-21,14.3,1,42.9,1.78,5.0,0,1,0,0,0,1,1
195,1.0,2014-01-29,5.0,1.0,2014-02-21,0.0,0,100.0,1.27,5.0,0,0,1,0,0,1,0
196,3.0,2014-01-27,4.0,1.0,2014-06-11,0.0,1,62.5,8.0,4.8,0,0,1,0,0,1,1
197,0.0,2014-01-08,3.7,2.25,2014-03-02,66.7,0,33.3,3.75,5.0,0,0,1,0,0,1,0
198,1.0,2014-01-26,5.0,2.0,2014-03-03,50.0,0,0.0,1.38,4.0,0,0,1,0,0,1,0
199,0.0,2014-01-16,5.0,1.0,2014-05-16,0.0,0,100.0,4.58,5.0,0,0,1,0,0,1,0
200,22.0,2014-01-11,4.6,1.02,2014-06-29,2.7,1,83.8,2.34,4.6,0,0,1,0,0,1,1
201,1.0,2014-01-17,5.0,1.0,2014-06-27,0.0,0,100.0,27.32,5.0,0,1,0,0,0,1,1
202,2.0,2014-01-27,4.6,1.0,2014-05-20,0.0,0,57.1,2.5,4.5,0,0,1,0,0,1,0
203,2.0,2014-01-12,4.5,1.2,2014-06-29,26.1,1,52.2,6.87,5.0,0,1,0,0,0,1,1
204,0.0,2014-01-06,5.0,1.0,2014-05-12,0.0,0,66.7,5.28,5.0,0,0,1,0,0,1,0
205,0.0,2014-01-09,5.0,1.0,2014-05-27,0.0,1,100.0,2.09,5.0,1,0,0,0,0,1,0
206,0.0,2014-01-22,5.0,1.0,2014-06-18,0.0,0,100.0,3.69,5.0,0,0,1,0,0,1,1
207,3.0,2014-01-19,5.0,1.0,2014-01-26,0.0,0,0.0,2.52,5.0,1,0,0,1,0,0,0
208,1.0,2014-01-24,4.6015592912744685,1.0,2014-01-26,0.0,0,0.0,14.93,5.0,0,0,1,0,0,1,0
209,0.0,2014-01-06,5.0,1.0,2014-05-09,0.0,0,100.0,11.78,5.0,1,0,0,1,0,0,0
210,0.0,2014-01-14,5.0,1.0,2014-05-14,0.0,0,100.0,16.88,3.0,0,0,1,0,0,1,0
211,0.0,2014-01-17,5.0,1.0,2014-06-29,0.0,0,0.0,2.34,5.0,0,1,0,0,0,1,1
212,0.0,2014-01-10,5.0,1.0,2014-02-10,0.0,0,100.0,0.89,3.0,0,0,1,0,0,1,0
213,1.0,2014-01-18,5.0,1.0,2014-01-19,0.0,0,0.0,3.07,5.0,0,0,1,1,0,0,0
214,7.0,2014-01-18,4.3,1.04,2014-06-20,7.1,0,57.1,3.81,4.9,1,0,0,0,0,1,1
215,1.0,2014-01-24,4.6015592912744685,1.0,2014-01-24,0.0,1,100.0,19.77,4.0,0,0,1,0,0,1,0
216,0.0,2014-01-11,4.5,1.5,2014-06-27,50.0,0,50.0,2.7,4.5,0,1,0,1,0,0,1
217,8.0,2014-01-06,4.7,1.0,2014-06-28,0.0,1,72.2,2.66,4.3,0,0,1,0,0,1,1
218,1.0,2014-01-20,5.0,1.75,2014-02-16,100.0,0,0.0,2.6,5.0,0,0,1,1,0,0,0
219,0.0,2014-01-28,4.6015592912744685,1.0,2014-06-14,0.0,1,100.0,12.21,5.0,0,1,0,1,0,0,1
220,6.0,2014-01-19,4.9,1.04,2014-06-29,7.7,0,0.0,2.34,4.8,0,0,1,0,0,1,1
221,1.0,2014-01-25,4.3,1.13,2014-05-18,25.0,1,25.0,10.61,5.0,0,0,1,1,0,0,0
222,0.0,2014-01-18,4.6015592912744685,1.0,2014-03-31,0.0,0,0.0,7.89,5.0,0,1,0,0,0,1,0
223,2.0,2014-01-29,4.6015592912744685,1.0,2014-05-05,0.0,0,100.0,5.31,5.0,1,0,0,0,0,1,0
